Material Code;Origin
40000038;Asia
40000040;Asia
40000056;Asia
40000057;Asia
40000295;Asia
40000456;Asia
40004506;Asia
40004507;Asia
40007221;Asia
40014080;Asia
40019531;Asia
40019617;Asia
40021871;Asia
40022034;Asia
40022040;Asia
40022128;Asia
40022129;Asia
40022309;Asia
40022340;Asia
40022425;Asia
40023300;Asia
40026769;Asia
40026783;Asia
40026892;Asia
40026934;Asia
40029246;Asia
40029749;Asia
40031227;Asia
40031819;Asia
40037051;Asia
40037118;Asia
40037127;Asia
40037128;Asia
40037130;Asia
40040543;Asia
40040943;Asia
40043186;Asia
40043526;Asia
40043546;Asia
40044025;Asia
40044555;Asia
40045172;Asia
40045174;Asia
40045181;Asia
40045184;Asia
40045199;Asia
40045219;Asia
40045238;Asia
40045268;Asia
40045325;Asia
40045460;Asia
40045534;Asia
40045596;Asia
40045678;Asia
40045691;Asia
40045779;Asia
40046479;Asia
40046569;Asia
40046586;Asia
40046625;Asia
40046887;Asia
40047633;Asia
40048864;Asia
40049586;Asia
40049595;Asia
40049650;Asia
40049966;Asia
40049988;Asia
40049997;Asia
40050057;Asia
40050116;Asia
40050700;Asia
40050701;Asia
40051234;Asia
40051323;Asia
40051359;Asia
40052383;Asia
40053270;Asia
40053306;Asia
40053327;Asia
40053340;Asia
40053593;Asia
40053594;Asia
40053603;Asia
40053641;Asia
40054533;Asia
40055390;Asia
40055434;Asia
40055517;Asia
40055558;Asia
40055591;Asia
40056423;Asia
40057083;Asia
40057207;Asia
40059138;Asia
40060433;Asia
40060469;Asia
40060478;Asia
40061139;Asia
40061248;Asia
40061273;Asia
40061526;Asia
40061537;Asia
40061893;Asia
40061911;Asia
40061914;Asia
40061923;Asia
40061928;Asia
40061929;Asia
40061944;Asia
40061960;Asia
40061979;Asia
40061984;Asia
40062007;Asia
40062015;Asia
40062016;Asia
40062350;Asia
40062465;Asia
40063071;Asia
40063802;Asia
40063841;Asia
40063862;Asia
40063883;Asia
40063888;Asia
40063890;Asia
40063901;Asia
40063902;Asia
40063910;Asia
40063911;Asia
40063918;Asia
40063930;Asia
40063938;Asia
40063947;Asia
40063948;Asia
40063957;Asia
40063966;Asia
40063967;Asia
40063969;Asia
40063975;Asia
40063977;Asia
40063987;Asia
40063996;Asia
40063997;Asia
40063998;Asia
40064005;Asia
40064006;Asia
40064025;Asia
40064342;Asia
40064376;Asia
40064393;Asia
40064398;Asia
40064403;Asia
40064418;Asia
40064436;Asia
40064496;Asia
40064497;Asia
40064505;Asia
40064515;Asia
40064535;Asia
40065083;Asia
40066855;Asia
40066956;Asia
40067457;Asia
40067458;Asia
40068631;Asia
40068652;Asia
40068664;Asia
40068833;Asia
40068901;Asia
40068920;Asia
40068960;Asia
40068991;Asia
40069000;Asia
40069011;Asia
40069023;Asia
40069068;Asia
40069076;Asia
40069286;Asia
40072028;Asia
40072393;Asia
40072394;Asia
40072423;Asia
